concept,qualifier,context,type
date,consultation,consultation,date
date,renewal,subscription,date
date,completion,training,date
date,backup,backup,date
date,incident,incident,date
date,record,records,date
date,arrival,transport,date
date,cloning,cloning,date
date,session,therapeutic session notes,date
date,submission,application,date
date,approval,pharmaceutical approvals,date
date,review,review,date
date,visit,visit,date
date,registration,registration,date
date,registration,user,date
date,departure,transport,date
date,archive,archive,date
date,statistics,statistics,date
date,claim,claim,date
date,auction,auction,date
date,event,event,date
date,enrollment,enrollment,date
date,launch,launch,date
date,agreement,agreement,date
date,effective,contract,date
date,maturity,loan,date
date,launch,product,date
date,shipping,shipping,date
date,discovery,discovery,date
date,acquisition,contemporary art acquisitions,date
date,parade,festival schedules,date
date,appraisal,gemstone evaluations,date
date,session,session,date
date,event,ceremonial gatherings,date
date,engagement,engagement,date
date,hire,employee,date
date,issue,certification,date
date,transaction,transaction,date
date,forecast,forecast,date
date,milestone,milestone,date
date,collection,collection,date
date,decommission,decommission,date
date,graduation,graduation,date
date,birth,user,date
date,certification,certification,date
date,due,bill,date
type,policy,actuarial science,enumeration
level,access,service,enumeration
type,transaction,finance,enumeration
era,,archaeology,enumeration
type,subscription,magazine,enumeration
type,patent,intellectual property,enumeration
state,quantum,quantum physics,enumeration
theme,meme,meme culture,enumeration
type,plan,subscription,enumeration
type,skill,hobby,enumeration
design,wing,aerospace engineering,enumeration
type,account,finance,enumeration
type,commuter,commuter service,enumeration
type,beverage,beverage,enumeration
capacity,passenger,transport,enumeration
cover,cloud,weather report,enumeration
type,fuel,vehicle,enumeration
size,,clothing,enumeration
role,,employee,enumeration
category,instrument,ethnomusicology,enumeration
type,instrument,musical instrument,enumeration
level,difficulty,lesson,enumeration
structure,political,ancient civilization,enumeration
dimension,,theoretical physics,enumeration
type,role,volunteer role,enumeration
type,fossil,paleontology,enumeration
type,garden,garden,enumeration
type,network,communication,enumeration
category,,product,enumeration
type,plant,landscape architecture,enumeration
level,humidity,weather,enumeration
type,household,household,enumeration
industry,,job,enumeration
urgency,task,operational task,enumeration
condition,book,library book,enumeration
system,writing,ancient civilization,enumeration
difficulty,,game,enumeration
pattern,weather,season,enumeration
type,course,culinary event,enumeration
type,equipment,office equipment,enumeration
level,priority,service,enumeration
method,irrigation,agriculture,enumeration
city,,location,enumeration
era,minting,numismatics,enumeration
type,battery,robotics,enumeration
type,audience,entertainment,enumeration
class,seat,flight,enumeration
type,property,real estate,enumeration
type,meal,meal,enumeration
quadrant,galactic,astrophysics,enumeration
type,shipping,parcel,enumeration
style,argument,philosophical schools,enumeration
type,event,event,enumeration
method,payment,e commerce,enumeration
genre,,book,enumeration
type,weather,weather,enumeration
type,cuisine,cuisine,enumeration
habitat,,animal,enumeration
type,case,legal case,enumeration
method,training,training,enumeration
size,audience,event,enumeration
segment,customer,e commerce,enumeration
type,blood,health,enumeration
genre,,entertainment,enumeration
type,service,property maintenance,enumeration
type,store,retail store,enumeration
texture,soil,agriculture,enumeration
level,degree,education,enumeration
type,zoning,urban planning,enumeration
type,infrastructure,urban planning,enumeration
category,activity,festival activity,enumeration
type,luminosity,astrophysics,enumeration
format,meme,meme culture,enumeration
formation,cloud,meteorology,enumeration
type,material,print material,enumeration
pattern,weave,textile industry,enumeration
denomination,,religious,enumeration
type,hobby,hobby,enumeration
class,star,astrophysics,enumeration
type,animal,pet,enumeration
method,calculation,actuarial science,enumeration
type,fuel,vehicle,enumeration
type,train,railway,enumeration
method,cooking,gourmet cooking,enumeration
status,,device,enumeration
type,restriction,dietary plan,enumeration
type,club,hobby,enumeration
type,artifact,archaeology,enumeration
type,radiation,nuclear physics,enumeration
species,,animal,enumeration
language,,communication,enumeration
level,career,career,enumeration
type,subscription,service,enumeration
type,fashion,fashion,enumeration
type,myth,mythology,enumeration
material,building,urban planning,enumeration
region,,news article,enumeration
terrain,,landform,enumeration
tradition,folk,ethnomusicology,enumeration
region,currency,currency,enumeration
size,pet,pets,enumeration
type,transaction,retail transaction,enumeration
type,reaction,nuclear physics,enumeration
type,risk,actuarial science,enumeration
type,exam,exam,enumeration
status,vessel,space mission,enumeration
mode,player,game,enumeration
type,fixture,lighting fixture,enumeration
format,compression,media file,enumeration
type,storm,meteorology,enumeration
type,service,service,enumeration
type,furniture,furniture,enumeration
level,privacy,social media post,enumeration
type,season,season,enumeration
type,case,forensic science,enumeration
technique,excavation,archaeology,enumeration
method,cooking,cuisine,enumeration
type,climate,season,enumeration
type,signal,communication,enumeration
diet,,animal,enumeration
status,marital,person,enumeration
type,blood,patient,enumeration
size,,fashion,enumeration
type,tool,tool,enumeration
type,cuisine,gourmet cooking,enumeration
type,particle,quantum physics,enumeration
type,evidence,forensic science,enumeration
process,aging,viticulture,enumeration
mode,color,image,enumeration
type,habitat,ichthyology,enumeration
type,os,computer,enumeration
period,historical,art,enumeration
type,procedure,healthcare procedure,enumeration
class,energy,appliance,enumeration
system,operating,device,enumeration
type,package,travel package,enumeration
spiciness,dish,gourmet cooking,enumeration
category,product,retail product,enumeration
type,scale,ichthyology,enumeration
model,license,software,enumeration
color,,fruit,enumeration
requirement,light,plant,enumeration
type,game,sports game,enumeration
language,,programming task,enumeration
type,crypto,cryptocurrency,enumeration
type,fuel,nuclear physics,enumeration
mode,transport,transport,enumeration
belief,religious,ancient civilization,enumeration
structure,wing,entomology,enumeration
material,,furniture,enumeration
pattern,color,fashion,enumeration
type,servo,robotics,enumeration
type,provider,healthcare provider,enumeration
result,test,medical test,enumeration
algorithm,control,robotics,enumeration
type,ontology,philosophical schools,enumeration
category,protection,wildlife conservation,enumeration
taste,,fruit,enumeration
type,game,game,enumeration
type,venue,event,enumeration
country,,location,enumeration
type,connection,communication,enumeration
gender,,person,enumeration
medium,,painting,enumeration
type,media,communication,enumeration
type,fabric,textile industry,enumeration
level,access,application,enumeration
transmission,,vehicle,enumeration
type,connection,network connection,enumeration
level,satisfaction,survey response,enumeration
type,lock,lock,enumeration
type,firewall,digital security,enumeration
process,formation,geology,enumeration
type,species,marine biology,enumeration
found,era,paleontology,enumeration
type,crop,agriculture,enumeration
type,front,meteorology,enumeration
level,spice,cuisine,enumeration
stage,mission,space mission,enumeration
type,cipher,cryptography,enumeration
function,job,job,enumeration
level,skill,hobby,enumeration
group,age,toy,enumeration
genre,game,game,enumeration
level,grade,school,enumeration
style,design,landscape architecture,enumeration
status,animal,wildlife conservation,enumeration
ecosystem,,landform,enumeration
type,wine,viticulture,enumeration
type,land,land,enumeration
function,hash,cryptography,enumeration
type,db,database,enumeration
style,,furniture,enumeration
type,institution,education,enumeration
type,file,file,enumeration
type,account,account,enumeration
type,fuel,aerospace engineering,enumeration
type,policy,insurance,enumeration
brand,,product,enumeration
type,chain,supply chain,enumeration
type,support,service,enumeration
composition,mineral,geology,enumeration
family,dinosaur,paleontology,enumeration
type,element,web page element,enumeration
type,energy,transport,enumeration
type,pet,pets,enumeration
type,seat,seating arrangement,enumeration
method,analysis,forensic science,enumeration
type,scale,ethnomusicology,enumeration
season,,weather,enumeration
type,flora,season,enumeration
system,propulsion,marine engineering,enumeration
type,allergy,health,enumeration
material,coin,numismatics,enumeration
type,form,government form,enumeration
zone,water,marine biology,enumeration
type,currency,numismatics,enumeration
variety,grape,viticulture,enumeration
type,insect,entomology,enumeration
format,,entertainment,enumeration
platform,,game,enumeration
type,scholarship,education,enumeration
type,shell,marine biology,enumeration
type,cuisine,recipe,enumeration
standard,encryption,digital security,enumeration
method,payment,transaction,enumeration
type,design,graphic design,enumeration
religion,,religious,enumeration
type,device,device,enumeration
status,order,order,enumeration
habit,feeding,entomology,enumeration
currency,,finance,enumeration
type,festival,festival,enumeration
service,delivery,delivery,enumeration
type,software,software,enumeration
brand,,gadget,enumeration
tariff,,electricity provider,enumeration
field,research,quantum physics,enumeration
type,event,astronomy event,enumeration
medium,,art,enumeration
size,screen,gadget,enumeration
type,employment,job,enumeration
type,license,software,enumeration
equipment,,hobby,enumeration
type,theory,theoretical physics,enumeration
item,sacred,mythology,enumeration
breed,,pets,enumeration
material,,fashion,enumeration
type,activity,cultural activity,enumeration
type,content,digital content,enumeration
style,art,art piece,enumeration
type,dye,textile industry,enumeration
type,phone,phone,enumeration
protocol,auth,digital security,enumeration
type,building,building,enumeration
type,landform,landform,enumeration
genre,game,video game,enumeration
type,habitat,wildlife conservation,enumeration
era,,fashion,enumeration
conductivity,thermal,material science,float
strain,,civil engineering data,float
rate,exchange,financial analysis,float
travelled,distance,transport data,float
efficiency,fuel,transportation analysis,float
rate,defect,manufacturing data,float
level,ph,biological research,float
size,file,media data,float
content,caloric,nutritional value analysis,float
humidity,,sensor data,float
ping,,gaming performance,float
salinity,,marine data,float
concentration,phosphate,marine biology,float
stress,,civil engineering data,float
consumption,fuel,transport data,float
density,,material science,float
count,step,fitness data,float
longitude,,geo data,float
latency,,network data,float
density,,chemical data,float
factor,recovery,petroleum data,float
space,floor,real estate data,float
height,wave,marine data,float
toughness,fracture,material science,float
rate,fps,gaming performance,float
height,building,construction data,float
amplitude,,music data,float
moisture,soil,agricultural data,float
complexity,syntax,linguistics,float
level,cholesterol,healthcare record,float
level,water,environmental data,float
power,thrust,space mission,float
rate,frame,gaming data,float
temperature,body,bio data,float
mass,,physical data,float
health,battery,electric vehicle,float
rate,streamflow,hydrology,float
power,horse,automobile engine,float
rate,mutation,genomics,float
tempo,,music production,float
brightness,star,astronomy data,float
stretch,fabric,fashion design,float
cost,material,construction data,float
level,cholesterol,medical data,float
rate,respiration,health data,float
level,energy,quantum physics,float
weight,synaptic,neuroscience,float
sweetness,,food and beverage testing,float
angle,joint,robotics testing,float
cost,unit,manufacturing data,float
amount,rainfall,weather data,float
amount,carbohydrate,nutritional value analysis,float
price,,product,float
density,electron,quantum physics,float
height,wave,marine observation,float
life,battery,robotics testing,float
viscosity,,chemical experiment,float
rate,evapotranspiration,hydrology,float
amount,rainfall,agriculture yield,float
efficiency,irrigation,agriculture,float
latency,response,psychology,float
altitude,flight,aerospace trajectory,float
heat,reaction,chemical experiment,float
depth,,seismic activity,float
content,protein,food data,float
level,spice,culinary experiment,float
rate,exchange,financial data,float
duration,call,telecom data,float
power,engine,automobile data,float
index,uv,meteorology,float
concentration,sediment,hydrology,float
temperature,,weather data,float
beta,equity,financial analysis,float
weight,molecular,bioinformatics,float
rate,discount,sales data,float
acceleration,,physical data,float
yield,crop,agriculture,float
saturation,color,fashion design,float
speed,current,marine observation,float
efficiency,engine,automobile engine,float
content,fat,food data,float
expression,gene,genomics,float
value,redshift,astrophysics,float
rate,heart,health data,float
adjustment,inflation,economics,float
confidence,decision,psychology,float
salary,,employee,float
speed,,transport data,float
ph,soil,environmental study,float
rate,growth,social media data,float
rate,discount,retail data,float
molarity,,chemical data,float
magnitude,,seismic activity,float
tempo,,music data,float
spin,quantum,quantum physics,float
frequency,allele,genomics,float
content,sugar,culinary experiment,float
concentration,chlorophyll,marine biology,float
growth,gdp,economics data,float
duration,session,user engagement,float
solubility,drug,pharmacology,float
activity,enzyme,biological research,float
index,bioavailability,pharmacology,float
bitrate,,media data,float
reach,,social media data,float
content,protein,nutritional value analysis,float
velocity,galactic,astrophysics,float
rate,interest,finance transaction,float
torque,,automobile data,float
latitude,,geo data,float
time,response,psychological test,float
life,half,pharmacology,float
rate,frame,video analysis,float
level,stress,psychological test,float
coefficient,drag,aerospace trajectory,float
efficiency,fuel,automobile data,float
lift,,aerospace data,float
luminosity,,astronomical observation,float
output,torque,robotics,float
score,exam,educational data,float
hardness,mineral,geology,float
value,property,real estate data,float
speed,wind,meteorological modeling,float
rate,bounce,user engagement,float
power,electric,energy consumption,float
capacity,load,construction project,float
rate,precipitation,climate modeling,float
score,savory,food and beverage testing,float
humidity,,weather data,float
torque,,automobile engine,float
speed,orbital,space mission,float
amplitude,probability,quantum physics,float
levels,humidity,climate modeling,float
speed,current,marine data,float
speed,avg,transportation analysis,float
usage,fertilizer,agricultural data,float
rate,gst,sales data,float
resolution,,gaming data,float
intensity,emotion,psychology,float
index,heat,meteorology,float
duration,workout,fitness data,float
salinity,water,marine observation,float
number,octane,petrochemical analysis,float
strength,yield,material science,float
features,prosodic,linguistics,float
hours,labor,construction data,float
strength,signal,telecom data,float
rate,tax,retail data,float
size,hail,meteorology,float
temperature,gpu,gaming performance,float
output,water,energy consumption,float
index,therapeutic,pharmacology,float
rate,unemployment,economics data,float
saturation,oxygen,health data,float
price,total,order,float
coefficient,drag,aerospace data,float
price,product,sales data,float
luminosity,stellar,astrophysics,float
score,accuracy,psychological test,float
capacity,payload,robotics,float
frequency,,music data,float
pressure,,weather data,float
weight,molecular,chemical experiment,float
density,pixel,video analysis,float
price,stock,financial data,float
thrust,,aerospace data,float
factor,risk,insurance data,float
density,rock,geology,float
size,land,real estate data,float
rate,photosynthesis,agriculture,float
capacity,load,civil engineering data,float
rate,inflation,economics data,float
rate,conversion,user engagement,float
temperature,,sensor data,float
speed,wind,weather data,float
redshift,,astronomy data,float
amount,snowfall,weather data,float
redshift,,astronomical observation,float
rate,production,manufacturing data,float
fidelity,attention,psychology,float
strength,tensile,material science,float
rate,premium,insurance data,float
rate,interest,financial analysis,float
sensitivity,receptor,neuroscience,float
value,monetary,art valuation,float
pressure,blood,bio data,float
gpa,,educational data,float
usage,gas,energy consumption,float
viscosity,oil,petrochemical analysis,float
pressure,,sensor data,float
concentration,nutrient,ecology,float
density,semantic,linguistics,float
point,boiling,petroleum data,float
amount,transaction,finance transaction,float
modulus,elastic,material science,float
velocity,,physical data,float
parallax,,astronomy data,float
temperature,cooking,culinary experiment,float
frequency,phoneteme,linguistics,float
content,sulfur,petrochemical analysis,float
value,caloric,food data,float
index,uv,environmental study,float
repeat,pattern,fashion design,float
rate,engagement,social media data,float
index,biodiversity,ecology,float
usage,data,telecom data,float
bandwidth,,network data,float
rate,exchange,finance transaction,float
speed,wind,climate modeling,float
volatility,market,financial analysis,float
rate,bit,video analysis,float
duration,,media data,float
level,thrust,aerospace trajectory,float
vector,velocity,aerospace trajectory,float
rate,burn,aerospace trajectory,float
decibels,,music production,float
frequency,,music production,float
viscosity,oil,petroleum data,float
id,order,order,integer
year,founded,department,integer
salary,,record,integer
tests,airfoil,aerospace engineering,integer
number,house,record,integer
id,bet,record,integer
id,meeting,meeting,integer
volume,traffic,urban planning,integer
students,total,university,integer
id,zone,record,integer
id,tournament,record,integer
id,review,record,integer
id,source,record,integer
id,employee,employee,integer
level,,record,integer
count,transaction,cryptocurrency trading,integer
number,section,record,integer
attendees,total,conference,integer
id,league,record,integer
id,clinic,clinic,integer
weight,,physical,integer
population,,record,integer
rotations,turbine,wind energy investigation,integer
established,year,city,integer
gb,ram,laptop,integer
count,goal,sport analytics,integer
id,certification,record,integer
quantity,order,record,integer
cents,balance,bank account,integer
samples,atmospheric,astrobiology,integer
id,feedback,record,integer
m,height,monument,integer
code,transaction,record,integer
id,feature,record,integer
count,quark,quantum physics,integer
id,laptop,laptop,integer
code,zip,address,integer
id,transaction,bank account,integer
owned,vehicles,demographic,integer
number,registry,registry,integer
age,,demographic,integer
extremes,temperature,climatology,integer
id,comment,record,integer
drops,connection,telecommunications data,integer
number,license,record,integer
dollars,revenue,store,integer
id,game,game,integer
count,sibling,demographic,integer
statistics,player,sport analytics,integer
id,product,record,integer
level,toxicity,pharmaceutical tests,integer
visits,asteroid,space exploration,integer
code,department,record,integer
number,reservation,record,integer
measurements,photosynthesis,botanical studies,integer
id,file,record,integer
id,upload,record,integer
count,passenger,record,integer
id,payment,record,integer
number,train,railway,integer
score,,record,integer
number,policy,record,integer
id,vehicle,vehicle,integer
colonies,penguin,antarctic research,integer
number,serial,record,integer
detections,biosignature,astrobiology,integer
edition,,record,integer
points,interaction,virtual reality,integer
size,shoe,physical,integer
season,,record,integer
id,destination,record,integer
number,flight,flight,integer
events,earthquake,seismology data,integer
id,monument,monument,integer
population,animal,veterinary science,integer
kg,weight,person,integer
samples,fiber,forensic analysis,integer
anomalies,temperature,antarctic research,integer
pairs,chromosome,genetics research,integer
score,,game,integer
score,match,sport analytics,integer
cycles,circadian,chronobiology,integer
followers,num,record,integer
id,entry,record,integer
chapter,,record,integer
year,formed,team,integer
code,project,record,integer
density,tree,ecological study,integer
population,species,ecological study,integer
days,rainfall,meteorological data,integer
levels,entropy,thermodynamics study,integer
id,patreon,record,integer
id,publication,record,integer
retransmissions,signal,telecommunications data,integer
id,transaction,record,integer
id,product,product,integer
grade,,student,integer
rate,mutation,genetics research,integer
utilization,bandwidth,telecommunications data,integer
id,school,school,integer
count,aftershock,seismology data,integer
id,query,record,integer
levels,neurotransmitter,neuroscience study,integer
code,merchant,record,integer
id,university,university,integer
number,page,record,integer
number,issue,record,integer
addresses,active,cryptocurrency trading,integer
number,imei,phone,integer
variants,gene,genetics research,integer
items,total,store,integer
number,chapter,record,integer
age,,person,integer
episode,,record,integer
ridges,fingerprint,biometric data,integer
code,category,record,integer
number,flight,record,integer
customers,daily,restaurant,integer
cm,height,record,integer
nodes,total,network,integer
delays,shipment,supply chain management,integer
id,cluster,record,integer
built,year,building,integer
dollars,salary,employee,integer
id,patent,record,integer
id,network,network,integer
cents,price,product,integer
id,conference,conference,integer
id,customer,order,integer
id,reply,record,integer
id,event,record,integer
id,service,record,integer
number,phase,record,integer
yield,crop,agricultural analysis,integer
quantity,,order,integer
expenses,monthly,financial,integer
id,job,record,integer
id,document,record,integer
units,residential,urban planning,integer
orbits,planet,astrophysics data,integer
entries,total,registry,integer
id,location,record,integer
value,rating,record,integer
code,zip,record,integer
id,article,record,integer
id,store,store,integer
likes,num,record,integer
year,published,book,integer
id,message,record,integer
id,device,record,integer
cycles,irrigation,agricultural analysis,integer
code,region,record,integer
score,credit,financial,integer
id,sponsor,record,integer
code,partner,record,integer
sizes,habitat,wildlife conservation,integer
minutes,duration,meeting,integer
number,account,bank account,integer
units,inventory,supply chain management,integer
year,,vehicle,integer
level,risk,record,integer
agents,bioactive,pharmaceutical tests,integer
count,vaccination,veterinary science,integer
reads,microsensor,nanotechnology research,integer
id,competition,competition,integer
molecules,compound,pharmaceutical tests,integer
enrolled,students,school,integer
sold,units,record,integer
ranking,,record,integer
frequency,storm,meteorological data,integer
signals,extraterrestrial,astrobiology,integer
count,,record,integer
species,plankton,marine biology,integer
isbn,,record,integer
id,import,record,integer
id,report,record,integer
income,,financial,integer
volume,trade,cryptocurrency trading,integer
sessions,user,virtual reality,integer
earned,credits,student,integer
cycles,thermal,thermodynamics study,integer
year,,record,integer
number,isbn,book,integer
code,version,record,integer
id,post,record,integer
id,suggestion,record,integer
number,order,record,integer
code,country,country,integer
id,team,team,integer
height,,physical,integer
launches,rocket,aerospace engineering,integer
states,superposition,quantum physics,integer
number,invoice,record,integer
id,download,record,integer
round,,record,integer
id,department,department,integer
code,course,course,integer
number,house,address,integer
id,session,record,integer
id,employee,employee,string
name,mineral,geology,string
reference,payment,payment,string
menu,,restaurant,string
type,tides,oceanography,string
name,professor,education,string
color,,vehicle,string
type,style,fashion,string
addr,,person,string
origin,,plant,string
name,current,oceanography,string
date,expiry,membership,string
name,bank,account,string
name,owner,trademark,string
brand,,food,string
name,founder,company,string
name,collection,fashion,string
type,habitat,zoo,string
configuration,seat,flight,string
established,year,company,string
name,,pet,string
organizer,,event,string
format,document,document,string
format,,book,string
number,fax,contact,string
name,section,library,string
description,location,festival,string
occupation,,person,string
email,customer,customer,string
airport,departure,flight,string
method,treatment,medical,string
name,event,event,string
label,,music,string
method,cultivation,plant,string
type,animal,pet,string
title,job,job,string
type,,card,string
shape,leaf,dendrology,string
name,driver,driver,string
date,review,review,string
developer,,software,string
title,,artwork,string
single,lead,music album,string
code,postal,city,string
cuisine,,food,string
city,departure,flight,string
points,reward,loyalty program,string
headline,,news,string
phone,,restaurant,string
location,,vendor,string
number,serial,product,string
type,,event,string
genre,,movie,string
name,course,course,string
currency,,payment,string
state,,address,string
species,dinosaur,paleontology,string
id,order,order,string
producer,,music album,string
content,,feedback,string
name,album,music album,string
behavior,,animal,string
cvv,,card,string
desc,,event,string
keywords,,document,string
zone,ocean,oceanography,string
description,issue,ticket,string
title,headline,news,string
label,,music album,string
location,,warehouse,string
symbol,ticker,company,string
method,shipping,order,string
advisor,,student,string
species,,animal,string
name,journalist,news,string
date,release,movie,string
status,,order,string
year,graduation,student,string
material,seat,car,string
code,area,city,string
name,supplier,supplier,string
id,microchip,pet,string
city,,person,string
capacity,,warehouse,string
material,coin,numismatics,string
title,program,fitness,string
name,street,address,string
major,,student,string
transmission,,car,string
status,payment,payment,string
type,antenna,entomology,string
phenomenon,weather,meteorology,string
nationality,,person,string
name,album,music,string
model,car,car,string
address,shipping,order,string
material,,furniture,string
name,,person,string
habitat,,plant,string
name,constellation,astronomy,string
publisher,,game,string
country,,movie,string
method,cooking,culinary arts,string
district,,school,string
city,,university,string
studio,,movie,string
name,first,customer,string
loc,,event,string
department,,course,string
period,warranty,device,string
date,publication,document,string
inst,,course,string
name,employee,employee,string
genre,,game,string
type,ticket,transport,string
maker,,vehicle,string
studio,,film,string
isbn,,book,string
predators,,animal,string
origin,,product,string
status,conservation,animal,string
type,soil,botany,string
number,model,device,string
description,product,product,string
color,,car,string
illustrator,,book,string
type,cuisine,restaurant,string
ind,,company,string
title,document,document,string
ingredient,primary,food,string
id,,order,string
minor,,student,string
name,,product,string
language,,book,string
type,venom,herpetology,string
description,order,order,string
name,device,device,string
name,product,product,string
category,,app,string
suffix,,person,string
content,review,review,string
number,seat,ticket,string
address,billing,invoice,string
name,species,plant,string
age,circulation,numismatics,string
name,owner,pet,string
name,disease,medical,string
species,fish,marine biology,string
holder,,card,string
subsidiary,,company,string
developer,,game,string
username,,user,string
title,blog,blog,string
name,,restaurant,string
id,transaction,transaction,string
region,wine,viticulture,string
director,,film,string
style,cuisine,recipe,string
platform,,game,string
texture,bark,dendrology,string
name,author,document,string
species,tree,dendrology,string
type,industry,company,string
habit,mineral,mineralogy,string
city,,address,string
ranges,frequency,acoustics,string
ing,,recipe,string
region,,language,string
name,professor,professor,string
version,,app,string
name,trainer,fitness,string
description,menu,restaurant,string
distributor,,movie,string
habitat,,animal,string
name,,course,string
name,,plant,string
type,algae,marine biology,string
name,patentee,patent,string
name,language,language,string
arrangement,leaf,botany,string
email,contact,vendor,string
origin,coin,numismatics,string
name,recipient,payment,string
city,,supplier,string
era,,history,string
description,transaction,finance,string
sku,,product,string
method,payment,payment,string
site,excavation,paleontology,string
location,,library,string
direction,wind,weather,string
title,,music,string
breed,,pet,string
status,,ticket,string
vin,,vehicle,string
name,,company,string
language,,movie,string
street,,location,string
name,employee,employee,string
producer,,movie,string
title,,person,string
category,product,product,string
language,official,city,string
name,first,person,string
nickname,,person,string
website,,app,string
timezone,,city,string
zip,,location,string
type,transaction,transaction,string
name,storm,meteorology,string
technique,print,philately,string
address,billing,order,string
type,currency,account,string
album,,music,string
mineral,cave,speleology,string
state,,city,string
dept,,course,string
currency,,city,string
name,restaurant,restaurant,string
dept,,job,string
name,last,employee,string
organization,,membership,string
model,,product,string
author,,book,string
serial,,device,string
airport,arrival,flight,string
type,fuel,car,string
prod,,order,string
style,,artwork,string
name,contact,vendor,string
title,,movie,string
email,,person,string
number,contact,warehouse,string
scrutiny,,audit,time
time,departure,fishing trip,time
hour,opening,library schedule,time
launch,,session,time
time,call,emergency contact,time
time,meeting,meeting,time
launchpad,,release,time
ping,,inquiry,time
starttime,,show,time
time,watering,gardening schedule,time
track,,course,time
bell,,drill,time
recap,,review,time
activate,,seminar,time
time,cook,cooking recipe,time
hour,opening,farmer market,time
intro,,lecture,time
embark,,workshop,time
engine,,roadtrip,time
beginroute,,journey,time
play,,streaming,time
time,end,event schedule,time
time,arrival,destination,time
suggest,,proposal,time
beginning,,concert,time
exploration,,adventure,time
assessment,,test,time
start,,event,time
verification,,check,time
inaugurate,,ceremony,time
time,landing,flight data,time
gear,,drive,time
quest,,expedition,time
time,reminder,phone reminder,time
time,checkout,hotel checkout,time
unveil,,exhibition,time
time,closing,park schedule,time
time,close,library schedule,time
disembark,,departure,time
commence,,assembly,time
time,qualifying,track meet,time
kickstart,,festival,time
gun,,race,time
checkin,,visit,time
setout,,excursion,time
time,dinner,dining schedule,time
hour,closing,library schedule,time
time,end,board game night,time
time,closing,exhibition,time
premiere,,release,time
airtime,,broadcast,time
time,closing,business hours,time
time,reservation,golf tee time,time
duration,halftime,sports match,time
time,arrival,schedule,time
time,opening,mall,time
time,landing,drone flight,time
time,blast,quarry operation,time
time,seating,restaurant reservation,time
time,alarm,alarm,time
punchin,,shift,time
time,baking,culinary show,time
time,end,event,time
kickoff,,meeting,time
time,opening,retail store,time
supervise,,monitoring,time
celebrate,,party,time
time,open,hotel gym,time
time,arrival,public transport,time
dock,,arrival,time
time,departure,flight schedule,time
duration,cooking,recipe,time
time,reservation,restaurant reservation,time
time,rerun,t v show schedule,time
time,landing,flight,time
time,announcement,public service announcement,time
time,activation,thermostat,time
time,restock,supermarket inventory,time
time,departure,commute,time
time,intermission,movie screening,time
time,conclusion,meeting,time
time,closing,spa,time
time,opening,bakery,time
passage,,way,time
blastoff,,launch,time
report,,reservation,time
time,arrival,train schedule,time
time,start,board game night,time
time,execution,data backup plan,time
embarkation,,tour,time
begin,,schedule,time
time,launch,space mission,time
toast,,event,time
testdrive,,experiment,time
countinventory,,inventory,time
dusk,,night,time
time,checkpoint,adventure race,time
hour,closing,farmer market,time
init,,appointment,time
dash,,sprint,time
inspect,,examination,time
trail,,path,time
time,qualifying,motorsport event,time
time,return,fishing trip,time
time,docking,space mission,time
time,close,hotel gym,time
dawn,,morning,time
time,opening,park schedule,time
kick,,game,time
due,,deadline,time
tipoff,,game,time
curtain,,performance,time
time,opening,exhibition,time
time,boarding,flight schedule,time
time,curtain,theater play,time
observation,,survey,time
stepoff,,walk,time
