concept,qualifier,context,type
employment,order,university,boolean
birth,passport,organization,
termination,order,university,date
phone,ID,school,string
exit,customer,employee,
status,postal,bank,string
gender,postal,bank,string
progress,ID,customer,string
passport,work,product,string
day,termination,user,
progress,product,user,string
employee_number,user,school,integer
employment,postal,user,boolean
class,work,university,string
manager_status,,bank,boolean
grade,user,university,string
employment,employment,shape,boolean
city,ID,customer,string
joining,user,bank,date
month,product,store,
employee_number,order,product,integer
city,marriage,user,string
day,ID,product,
manager_status,marriage,location,boolean
level,postal,university,string
grade,customer,organization,string
email,marriage,location,string
time,marriage,product,string
email,address,organization,string
year,passport,shape,
exit,termination,user,
employment,termination,university,boolean
country,marriage,university,string
progress,marriage,organization,string
year,postal,university,
month,manager,product,
day,manager,shape,
ID,postal,employee,integer
area,social,employee,string
date,manager,organization,date
name,anniversary,user,string
number,passport,organization,integer
marriage,address,government,date
zip,product,university,integer
weight,geographical,university,float
grade,marriage,employee,string
anniversary,employment,location,date
status,marriage,organization,string
email,product,user,string
manager_status,ID,employee,boolean
grade,user,store,string
level,passport,organization,string
month,address,product,
level,employment,bank,string
level,anniversary,user,string
passport,termination,user,string
anniversary,marriage,school,date
employment,postal,location,boolean
number,employment,store,integer
birth,ID,shape,
phone,,user,string
passport,geographical,school,string
manager_status,marriage,university,boolean
gender,user,product,string
marriage,anniversary,organization,date
ID,,store,integer
gender,manager,customer,string
termination,marriage,customer,date
exit,social,location,
termination,address,university,date
status,,user,string
year,,university,
year,customer,school,
grade,termination,bank,string
country,anniversary,product,string
weight,postal,shape,float
name,marriage,government,string
name,customer,shape,string
manager_status,marriage,user,boolean
month,postal,university,
name,passport,store,string
marriage,employment,shape,date
birth,address,organization,
level,postal,shape,string
progress,anniversary,school,string
city,social,shape,string
weight,user,organization,float
year,termination,government,
marriage,user,government,date
level,anniversary,organization,string
progress,anniversary,university,string
zip,employee,product,integer
status,work,bank,string
birth,employee,user,
gender,order,location,string
birth,manager,customer,
weight,postal,university,float
marriage,termination,shape,date
year,employment,customer,
year,product,customer,
class,employee,organization,string
employment,user,employee,boolean
gender,product,product,string
grade,postal,bank,string
salary,termination,bank,float
birth,customer,employee,
employee_number,user,user,integer
salary,passport,employee,float
termination,order,store,date
manager_status,termination,product,boolean
name,work,location,string
birth,employee,location,
phone,work,organization,string
marriage,user,shape,date
day,anniversary,customer,
marriage,customer,bank,date
email,manager,bank,string
status,order,employee,string
manager_status,customer,employee,boolean
time,user,employee,string
date,geographical,user,date
day,user,employee,
weight,social,store,float
employment,customer,shape,boolean
employment,customer,customer,boolean
weight,employment,university,float
city,marriage,university,string
name,geographical,shape,string
employment,anniversary,school,boolean
salary,passport,location,float
progress,anniversary,university,string
ID,passport,user,integer
weight,customer,school,float
employee_number,geographical,government,integer
email,employment,store,string
grade,employee,user,string
exit,anniversary,bank,
year,product,university,
number,employment,location,integer
progress,employment,employee,string
year,passport,employee,
salary,termination,customer,float
year,order,location,
area,ID,store,string
phone,customer,bank,string
height,social,organization,float
progress,termination,university,string
month,order,customer,
class,marriage,location,enumeration
salary,passport,government,float
country,passport,user,string
day,manager,bank,
joining,product,location,date
manager_status,employment,university,boolean
day,address,user,
grade,social,location,enumeration
manager_status,marriage,shape,boolean
weight,work,customer,float
ID,social,location,integer
grade,employment,shape,string
month,ID,user,
gender,passport,user,string
exit,user,product,
date,work,user,date
month,work,organization,
level,product,location,enumeration
ID,passport,shape,integer
termination,employee,employee,date
weight,ID,product,float
termination,customer,product,date
weight,ID,government,float
country,ID,product,string
area,user,government,string
status,marriage,shape,string
zip,manager,employee,integer
employee_number,postal,bank,integer
termination,address,organization,date
marriage,employment,shape,date
birth,user,university,
weight,postal,customer,float
month,,customer,
class,work,product,string
grade,order,product,string
marriage,,school,date
zip,postal,product,integer
employee_number,ID,government,integer
birth,product,user,
grade,employment,store,string
progress,address,university,string
height,,bank,float
joining,geographical,employee,date
weight,passport,bank,float
country,ID,store,string
salary,work,product,float
exit,passport,government,
area,ID,user,string
ID,geographical,employee,integer
country,customer,shape,string
time,social,school,string
email,marriage,employee,string
birth,postal,government,
progress,order,bank,string
termination,order,customer,date
number,social,bank,integer
name,user,bank,string
level,postal,bank,string
exit,marriage,store,
area,user,school,string
month,employment,government,
phone,order,university,string
passport,termination,school,string
employee_number,termination,product,integer
termination,ID,school,date
time,anniversary,government,string
salary,postal,organization,float
year,postal,school,
termination,marriage,employee,date
city,postal,organization,string
ID,user,product,integer
status,geographical,government,enumeration
date,anniversary,location,date
status,postal,location,enumeration
number,order,university,integer
name,product,shape,string
city,passport,school,string
ID,social,bank,integer
status,customer,store,string
month,social,shape,
employment,user,shape,boolean
passport,customer,organization,string
manager_status,geographical,employee,boolean
class,anniversary,product,string
marriage,,location,date
class,user,customer,string
height,employee,employee,float
termination,marriage,product,date
date,anniversary,location,date
joining,anniversary,store,date
zip,passport,customer,integer
anniversary,passport,school,date
employee_number,product,store,integer
name,passport,user,string
city,employment,government,string
marriage,termination,user,date
grade,employment,employee,string
height,marriage,university,float
weight,ID,employee,float
salary,customer,organization,float
manager_status,address,customer,boolean
marriage,manager,customer,date
number,passport,school,integer
weight,,user,float
day,employee,school,
status,employment,user,string
number,employment,customer,integer
status,employment,employee,string
year,social,store,
number,employment,university,integer
status,termination,customer,string
status,user,shape,string
time,ID,store,string
exit,postal,location,
country,anniversary,user,string
employment,manager,user,boolean
date,geographical,organization,date
ID,geographical,school,integer
status,user,government,enumeration
progress,,product,string
ID,passport,government,integer
passport,employment,organization,string
joining,postal,product,date
birth,anniversary,customer,
month,passport,user,
email,user,bank,string
salary,customer,university,float
gender,employment,store,string
birth,termination,shape,
employment,product,employee,boolean
name,ID,employee,string
joining,user,government,date
manager_status,,government,boolean
height,marriage,product,float
class,customer,organization,string
year,work,user,
month,anniversary,school,
level,postal,employee,string
time,user,user,string
ID,passport,product,integer
employment,product,shape,boolean
name,manager,university,string
class,customer,university,string
passport,termination,employee,string
status,manager,bank,string
exit,social,organization,
birth,manager,store,
employee_number,social,employee,integer
birth,address,shape,
city,social,store,string
grade,passport,bank,string
salary,customer,location,float
salary,postal,customer,float
termination,ID,government,date
exit,order,government,
class,address,bank,string
zip,postal,employee,integer
country,passport,government,enumeration
name,termination,product,string
ID,social,user,integer
phone,termination,government,string
name,customer,university,string
manager_status,anniversary,government,boolean
status,product,location,enumeration
employee_number,marriage,organization,integer
number,ID,bank,integer
year,marriage,user,
city,marriage,location,string
weight,geographical,store,float
name,employment,university,string
birth,manager,employee,
gender,geographical,customer,string
gender,customer,university,string
exit,termination,bank,
grade,address,bank,string
anniversary,marriage,bank,date
class,employment,location,enumeration
zip,anniversary,bank,integer
email,,product,string
height,user,organization,float
joining,ID,organization,date
gender,user,organization,string
anniversary,manager,bank,date
time,manager,organization,string
employment,postal,school,boolean
day,product,government,
anniversary,anniversary,government,date
gender,anniversary,bank,string
exit,termination,shape,
birth,customer,location,
progress,work,customer,string
phone,ID,location,string
salary,product,school,float
exit,ID,location,
salary,user,school,float
exit,marriage,school,
date,customer,location,date
day,employee,customer,
birth,address,school,
passport,employment,organization,string
email,customer,user,string
ID,ID,user,integer
height,customer,employee,float
grade,social,store,string
marriage,geographical,bank,date
employee_number,anniversary,university,integer
height,social,store,float
marriage,manager,organization,date
number,postal,organization,integer
phone,termination,store,string
phone,marriage,university,string
month,,bank,
city,social,user,string
manager_status,termination,customer,boolean
city,ID,school,string
time,marriage,university,string
progress,work,customer,string
manager_status,termination,employee,boolean
termination,work,school,date
class,geographical,location,enumeration
birth,ID,organization,
joining,employee,school,date
status,marriage,location,enumeration
level,order,user,string
class,manager,location,enumeration
passport,ID,product,string
name,work,location,string
birth,marriage,shape,
weight,customer,university,float
year,anniversary,school,
zip,employment,university,integer
year,product,product,
time,anniversary,school,string
country,ID,organization,string
year,customer,government,
level,user,university,string
gender,postal,university,string
exit,product,organization,
year,order,school,
name,,store,string
number,termination,organization,integer
anniversary,anniversary,product,date
level,employee,customer,string
zip,geographical,location,integer
year,order,organization,
status,postal,product,string
grade,ID,school,string
zip,user,user,integer
day,manager,organization,
email,employment,bank,string
year,termination,organization,
zip,postal,university,integer
area,,customer,string
city,address,shape,string
grade,order,organization,string
joining,ID,government,date
anniversary,anniversary,store,date
month,geographical,bank,
status,product,product,string
salary,postal,user,float
exit,address,organization,
level,termination,location,enumeration
year,,location,
month,customer,bank,
exit,address,university,
ID,employee,employee,integer
date,address,university,date
month,work,bank,
phone,social,university,string
salary,product,location,float
city,manager,customer,string
joining,employee,employee,date
level,order,location,enumeration
number,postal,user,integer
termination,manager,store,date
passport,user,location,string
year,termination,store,
passport,,university,string
employment,address,customer,boolean
level,employee,employee,string
class,user,organization,string
passport,manager,employee,string
passport,user,product,string
phone,passport,location,string
gender,work,organization,string
height,work,bank,float
gender,employment,school,string
employee_number,social,location,integer
day,postal,government,
country,customer,store,string
city,marriage,location,string
employee_number,,bank,integer
day,postal,employee,
employee_number,,user,integer
passport,work,organization,string
email,product,government,string
date,geographical,school,date
status,address,bank,string
height,order,school,float
phone,manager,shape,string
anniversary,address,product,date
passport,employee,government,string
gender,order,product,string
email,order,government,string
anniversary,manager,shape,date
height,employment,government,float
number,employee,location,integer
year,,shape,
birth,marriage,product,
passport,anniversary,employee,string
year,employment,shape,
phone,postal,store,string
termination,,employee,date
date,ID,user,date
employment,order,university,boolean
date,product,government,date
weight,passport,organization,float
name,work,store,string
year,product,organization,
zip,work,product,integer
height,postal,university,float
ID,address,customer,integer
city,user,location,string
employment,geographical,government,boolean
passport,social,government,string
salary,employment,university,float
birth,product,employee,
grade,customer,location,enumeration
salary,anniversary,bank,float
email,work,store,string
ID,geographical,store,integer
email,product,product,string
date,user,store,date
name,passport,organization,string
country,manager,bank,string
exit,termination,product,
country,address,shape,string
height,postal,store,float
anniversary,address,employee,date
day,address,customer,
gender,termination,bank,string
employee_number,manager,organization,integer
birth,employment,organization,
zip,marriage,organization,integer
height,employment,user,float
country,ID,government,enumeration
weight,work,bank,float
name,user,shape,string
level,ID,bank,string
progress,address,shape,string
number,,organization,integer
height,postal,location,float
zip,employment,store,integer
gender,passport,shape,string
class,passport,employee,string
birth,marriage,government,
termination,employment,product,date
zip,product,government,integer
year,customer,user,
phone,,school,string
month,anniversary,bank,
month,termination,university,
joining,postal,user,date
number,user,product,integer
zip,anniversary,university,integer
manager_status,address,school,boolean
employment,anniversary,store,boolean
grade,termination,government,enumeration
anniversary,passport,employee,date
employment,product,organization,boolean
month,address,organization,
exit,product,product,
employment,manager,shape,boolean
email,social,store,string
zip,employment,user,integer
passport,user,school,string
passport,marriage,employee,string
city,passport,organization,string
area,ID,shape,string
number,passport,bank,integer
anniversary,user,government,date
progress,marriage,bank,string
employment,social,product,boolean
gender,,government,string
time,passport,product,string
progress,ID,bank,string
employment,geographical,product,boolean
time,order,shape,string
employment,product,employee,boolean
phone,ID,user,string
level,product,store,string
email,product,government,string
salary,social,school,float
birth,customer,store,
salary,customer,university,float
employment,geographical,employee,boolean
ID,ID,employee,integer
employee_number,,shape,integer
day,,university,
anniversary,passport,customer,date
progress,product,employee,string
number,employee,school,integer
birth,passport,product,
progress,social,product,string
phone,product,employee,string
weight,marriage,location,float
email,,government,string
time,product,organization,string
employee_number,manager,employee,integer
year,anniversary,employee,
time,address,shape,string
birth,geographical,school,
date,work,shape,date
height,anniversary,store,float
salary,geographical,user,float
passport,passport,government,string
number,user,school,integer
grade,social,shape,string
year,address,university,
weight,user,university,float
year,employment,employee,
ID,geographical,store,integer
joining,employee,organization,date
month,marriage,shape,
employment,manager,user,boolean
weight,work,store,float
phone,anniversary,shape,string
birth,geographical,shape,
number,marriage,location,integer
status,address,organization,string
employee_number,order,shape,integer
country,customer,product,string
progress,manager,bank,string
zip,termination,bank,integer
level,ID,employee,string
height,address,user,float
grade,user,organization,string
name,employee,user,string
class,manager,university,string
year,ID,school,
grade,,organization,string
name,product,product,string
anniversary,address,store,date
class,employment,store,string
country,user,location,enumeration
country,work,organization,string
salary,termination,shape,float
year,work,government,
month,termination,location,
year,ID,store,
height,anniversary,employee,float
email,manager,product,string
area,anniversary,user,string
joining,customer,bank,date
time,postal,store,string
time,postal,location,string
exit,,employee,
day,social,university,
month,social,organization,
area,social,organization,string
passport,postal,bank,string
day,user,government,
employment,anniversary,product,boolean
progress,social,user,string
level,product,product,string
year,geographical,school,
status,customer,organization,string
class,product,school,string
area,geographical,store,string
exit,social,user,
date,employee,store,date
date,manager,university,date
level,product,university,string
status,work,school,string
area,customer,bank,string
name,termination,school,string
manager_status,social,shape,boolean
ID,order,employee,integer
gender,social,location,string
grade,social,bank,string
termination,postal,employee,date
manager_status,marriage,store,boolean
gender,passport,organization,string
progress,work,user,string
progress,user,product,string
gender,passport,university,string
marriage,customer,user,date
termination,work,bank,date
joining,social,customer,date
name,customer,school,string
zip,marriage,shape,integer
email,product,employee,string
status,product,store,string
gender,user,employee,string
phone,ID,government,string
name,customer,store,string
number,passport,university,integer
progress,manager,store,string
city,anniversary,store,string
manager_status,termination,employee,boolean
salary,address,bank,float
salary,postal,location,float
termination,customer,store,date
employment,employee,customer,boolean
grade,employee,store,string
status,user,employee,string
manager_status,passport,product,boolean
area,postal,location,string
progress,product,employee,string
number,manager,bank,integer
name,postal,location,string
city,manager,store,string
day,postal,organization,
grade,order,employee,string
number,passport,store,integer
city,order,product,string
employment,manager,organization,boolean
status,ID,product,string
number,customer,government,integer
manager_status,ID,product,boolean
day,geographical,university,
zip,anniversary,bank,integer
manager_status,ID,shape,boolean
marriage,,bank,date
phone,customer,school,string
class,user,shape,string
zip,passport,school,integer
employee_number,termination,location,integer
joining,anniversary,government,date
area,passport,location,string
salary,employment,employee,float
area,marriage,university,string
employment,,bank,boolean
grade,customer,user,string
class,work,bank,string
termination,order,bank,date
termination,employment,shape,date
progress,work,customer,string
joining,ID,user,date
email,employee,employee,string
name,address,school,string
birth,employee,organization,
date,postal,product,date
height,termination,school,float
email,employee,university,string
city,employment,government,string
grade,marriage,university,string
weight,order,government,float
date,geographical,bank,date
birth,anniversary,shape,
gender,user,employee,string
country,postal,product,string
level,ID,customer,string
day,employment,university,
exit,social,store,
salary,manager,product,float
gender,anniversary,shape,string
grade,manager,school,string
manager_status,manager,customer,boolean
exit,passport,location,
exit,marriage,bank,
zip,employment,user,integer
country,postal,store,string
email,manager,product,string
month,anniversary,user,
country,customer,organization,string
level,,store,string
phone,,bank,string
year,order,organization,
progress,manager,user,string
grade,address,employee,string
height,product,school,float
passport,postal,product,string
joining,ID,employee,date
class,anniversary,shape,string
exit,product,school,
month,product,user,
weight,social,organization,float
grade,work,product,string
level,termination,bank,string
class,geographical,store,string
time,geographical,product,string
employee_number,address,product,integer
passport,product,bank,string
time,product,government,string
weight,ID,customer,float
area,anniversary,location,string
salary,termination,product,float
exit,marriage,user,
year,product,user,
class,employment,product,string
status,manager,organization,string
email,termination,government,string
name,order,university,string
year,product,customer,
progress,address,employee,string
class,work,employee,string
height,marriage,university,float
height,employment,government,float
day,manager,customer,
level,,user,string
birth,geographical,bank,
employment,manager,user,boolean
date,postal,employee,date
termination,passport,school,date
exit,customer,organization,
country,social,organization,string
year,address,store,
email,passport,location,string
country,user,product,string
country,,shape,string
exit,termination,product,
name,ID,employee,string
month,geographical,store,
month,product,government,
city,postal,organization,string
gender,manager,product,string
weight,manager,product,float
termination,manager,school,date
exit,anniversary,user,
salary,postal,location,float
weight,marriage,bank,float
marriage,user,employee,date
day,passport,shape,
termination,product,government,date
number,user,location,integer
employee_number,ID,product,integer
class,social,bank,string
exit,passport,shape,
grade,work,shape,string
marriage,passport,location,date
passport,address,user,string
number,marriage,government,integer
month,product,university,
joining,,shape,date
month,address,organization,
weight,customer,university,float
anniversary,ID,school,date
year,manager,location,
year,user,shape,
manager_status,employment,organization,boolean
salary,postal,school,float
marriage,order,product,date
area,employee,university,string
exit,address,bank,
grade,employment,employee,string
year,product,university,
class,geographical,employee,string
level,anniversary,organization,string
area,customer,shape,string
zip,product,employee,integer
anniversary,social,location,date
area,order,organization,string
country,geographical,store,string
number,manager,product,integer
grade,product,shape,string
progress,postal,store,string
joining,social,organization,date
employee_number,user,university,integer
gender,social,organization,string
joining,ID,store,date
exit,postal,university,
zip,employee,location,integer
employee_number,termination,government,integer
day,manager,location,
city,,school,string
year,postal,product,
grade,termination,university,string
anniversary,anniversary,store,date
phone,user,shape,string
progress,work,customer,string
level,passport,government,enumeration
month,anniversary,location,
ID,passport,customer,integer
joining,marriage,bank,date
employment,anniversary,product,boolean
marriage,manager,customer,date
email,order,school,string
gender,order,school,string
ID,work,location,integer
ID,social,customer,integer
joining,termination,store,date
manager_status,geographical,employee,boolean
manager_status,social,shape,boolean
progress,passport,bank,string
progress,customer,university,string
marriage,ID,user,date
salary,marriage,employee,float
gender,anniversary,store,string
month,customer,bank,
date,employment,store,date
birth,address,bank,
name,termination,user,string
gender,passport,school,string
city,anniversary,store,string
zip,anniversary,bank,integer
gender,order,employee,string
phone,marriage,location,string
joining,order,store,date
month,user,organization,
name,manager,organization,string
anniversary,manager,organization,date
country,social,employee,string
anniversary,anniversary,store,date
day,work,shape,
phone,,product,string
weight,termination,store,float
passport,,university,string
day,ID,user,
height,marriage,government,float
ID,termination,school,integer
month,manager,product,
area,address,organization,string
phone,termination,customer,string
number,order,school,integer
date,user,employee,date
progress,customer,store,string
salary,employee,store,float
year,anniversary,shape,
city,customer,shape,string
passport,order,organization,string
birth,anniversary,customer,
birth,anniversary,government,
grade,employee,organization,string
country,passport,user,string
date,employee,store,date
joining,employment,school,date
exit,passport,location,
day,user,school,
city,marriage,customer,string
manager_status,postal,organization,boolean
ID,manager,user,integer
month,customer,customer,
country,marriage,university,string
phone,employee,customer,string
zip,manager,employee,integer
height,customer,customer,float
city,marriage,government,string
status,manager,organization,string
progress,employment,employee,string
country,customer,customer,string
city,work,employee,string
month,ID,user,
weight,customer,location,float
country,address,employee,string
anniversary,customer,school,date
month,ID,university,
birth,customer,store,
height,product,shape,float
day,manager,university,
anniversary,postal,product,date
number,customer,customer,integer
birth,ID,store,
year,employment,location,
joining,employment,university,date
passport,marriage,shape,string
ID,user,government,integer
status,ID,government,enumeration
birth,employment,location,
ID,postal,shape,integer
exit,termination,shape,
manager_status,employee,user,boolean
progress,user,bank,string
city,user,store,string
time,passport,product,string
ID,marriage,employee,integer
employment,customer,location,boolean
passport,address,product,string
day,passport,organization,
termination,social,user,date
marriage,social,government,date
status,termination,store,string
employment,geographical,user,boolean
ID,,customer,integer
month,employment,employee,
time,customer,store,string
area,marriage,organization,string
birth,order,product,
employee_number,customer,location,integer
grade,passport,customer,string
salary,user,bank,float
manager_status,geographical,product,boolean
gender,employment,organization,string
employee_number,marriage,product,integer
joining,ID,shape,date
email,termination,organization,string
zip,anniversary,user,integer
ID,customer,product,integer
progress,manager,product,string
weight,product,school,float
email,termination,customer,string
manager_status,termination,user,boolean
ID,passport,shape,integer
time,passport,government,string
exit,passport,user,
employee_number,social,organization,integer
day,social,bank,
passport,anniversary,organization,string
termination,anniversary,organization,date
gender,termination,customer,string
area,passport,location,string
salary,,employee,float
manager_status,employee,organization,boolean
status,employee,organization,string
anniversary,employee,employee,date
gender,user,bank,string
progress,ID,product,string
level,,customer,string
phone,,government,string
date,social,shape,date
manager_status,customer,shape,boolean
phone,manager,user,string
time,marriage,product,string
exit,order,customer,
weight,user,product,float
level,work,school,string
exit,termination,product,
salary,postal,government,float
name,work,shape,string
level,employment,school,string
year,order,location,
joining,postal,store,date
zip,,school,integer
progress,employee,product,string
weight,ID,school,float
weight,ID,government,float
area,product,location,string
progress,address,school,string
height,customer,employee,float
employment,marriage,university,boolean
passport,manager,organization,string
anniversary,employee,bank,date
manager_status,employee,organization,boolean
height,employee,user,float
grade,marriage,school,string
year,,shape,
progress,employment,customer,string
phone,passport,user,string
exit,employment,government,
ID,passport,customer,integer
anniversary,ID,customer,date
progress,manager,government,enumeration
progress,ID,employee,string
height,postal,organization,float
manager_status,employment,user,boolean
email,customer,organization,string
zip,employment,location,integer
date,,shape,date
level,order,user,string
height,product,government,float
time,user,school,string
city,marriage,user,string
exit,order,user,
status,order,university,string
progress,address,government,enumeration
class,geographical,government,enumeration
marriage,marriage,organization,date
date,product,shape,date
passport,anniversary,government,string
termination,anniversary,bank,date
birth,marriage,government,
city,postal,store,string
name,address,product,string
anniversary,employee,bank,date
month,passport,school,
day,user,shape,
weight,geographical,product,float
joining,manager,employee,date
anniversary,work,user,date
marriage,work,shape,date
time,employee,organization,string
number,passport,user,integer
month,manager,bank,
exit,employee,store,
progress,manager,customer,string
number,order,store,integer
anniversary,ID,shape,date
time,work,organization,string
area,,bank,string
city,employee,organization,string
progress,,organization,string
day,customer,organization,
city,passport,shape,string
date,order,customer,date
anniversary,employment,bank,date
month,product,employee,
gender,marriage,bank,string
zip,work,government,integer
area,employee,store,string
exit,anniversary,product,
date,customer,user,date
country,user,customer,string
level,address,store,string
email,address,shape,string
day,marriage,product,
number,product,store,integer
height,geographical,university,float
ID,user,store,integer
exit,order,product,
number,work,employee,integer
class,geographical,user,string
joining,geographical,university,date
gender,order,product,string
joining,work,government,date
employee_number,geographical,store,integer
manager_status,postal,bank,boolean
height,ID,bank,float
month,employee,customer,
employment,user,shape,boolean
number,social,shape,integer
height,termination,user,float
level,social,location,enumeration
day,manager,government,
exit,marriage,location,
weight,product,organization,float
manager_status,social,employee,boolean
anniversary,manager,bank,date
marriage,postal,user,date
level,manager,store,string
status,product,location,enumeration
date,passport,customer,date
employment,anniversary,school,boolean
salary,geographical,shape,float
manager_status,order,store,boolean
employment,termination,bank,boolean
email,passport,user,string
employment,marriage,university,boolean
employment,passport,employee,boolean
ID,manager,organization,integer
gender,anniversary,customer,string
employment,customer,government,boolean
ID,passport,customer,integer
year,product,organization,
level,anniversary,school,string
email,ID,government,string
year,user,government,
anniversary,ID,user,date
height,,store,float
city,employment,store,string
passport,order,customer,string
country,marriage,bank,string
passport,customer,store,string
country,customer,product,string
employee_number,termination,organization,integer
manager_status,termination,school,boolean
weight,user,school,float
number,anniversary,shape,integer
number,passport,employee,integer
status,termination,user,string
date,manager,user,date
area,passport,university,string
height,order,user,float
date,work,government,date
marriage,ID,university,date
phone,order,product,string
passport,work,school,string
level,order,bank,string
year,employment,location,
city,social,employee,string
zip,anniversary,product,integer
height,user,product,float
joining,employment,employee,date
weight,address,bank,float
grade,employment,bank,string
weight,employee,product,float
ID,termination,location,integer
month,termination,shape,
termination,postal,customer,date
number,passport,employee,integer
progress,marriage,shape,string
manager_status,termination,user,boolean
joining,termination,store,date
passport,marriage,store,string
joining,employment,bank,date
termination,customer,university,date
level,address,shape,string
manager_status,user,store,boolean
city,employee,shape,string
status,order,employee,string
salary,geographical,school,float
progress,postal,university,string
anniversary,address,customer,date
employment,geographical,user,boolean
area,product,location,string
weight,passport,organization,float
gender,social,school,string
class,postal,employee,string
employee_number,termination,school,integer
day,geographical,university,
date,product,government,date
phone,marriage,customer,string
status,geographical,user,string
date,address,product,date
day,social,store,
manager_status,,school,boolean
email,user,customer,string
